date,state,cases,deaths,fracpos
2020-01-22,Washington,1,0,0
2020-01-23,Washington,0,0,0
2020-01-24,Washington,0,0,0
2020-01-25,Washington,0,0,0
2020-01-26,Washington,0,0,1
2020-01-27,Washington,0,0,0
2020-01-28,Washington,0,0,0
2020-01-29,Washington,0,0,0
2020-01-30,Washington,0,0,0
2020-01-31,Washington,0,0,0
2020-02-01,Washington,0,0,0
2020-02-02,Washington,0,0,0
2020-02-03,Washington,0,0,1
2020-02-04,Washington,0,0,1
2020-02-05,Washington,0,0,1
2020-02-06,Washington,0,0,1
2020-02-07,Washington,1,0,1
2020-02-08,Washington,0,0,1
2020-02-09,Washington,0,0,1
2020-02-10,Washington,0,0,1
2020-02-11,Washington,0,0,1
2020-02-12,Washington,0,0,0
2020-02-13,Washington,0,0,0
2020-02-14,Washington,0,0,0
2020-02-15,Washington,0,0,0
2020-02-16,Washington,0,0,0
2020-02-17,Washington,0,0,0
2020-02-18,Washington,0,0,0
2020-02-19,Washington,0,0,0
2020-02-20,Washington,0,0,0
2020-02-21,Washington,0,0,0
2020-02-22,Washington,0,0,0
2020-02-23,Washington,0,0,0
2020-02-24,Washington,0,0,1
2020-02-25,Washington,0,0,0.41025641025641024
2020-02-26,Washington,0,2,0.2831858407079646
2020-02-27,Washington,0,0,0.21575342465753425
2020-02-28,Washington,7,2,0.17087378640776701
2020-02-29,Washington,9,1,0.16600790513833993
2020-03-01,Washington,16,3,0.15789473684210528
2020-03-02,Washington,31,3,0.135423197492163
2020-03-03,Washington,25,3,0.127
2020-03-04,Washington,38,2,0.12241653418124007
2020-03-05,Washington,51,4,0.10256410256410256
2020-03-06,Washington,39,6,0.08695652173913043
2020-03-07,Washington,38,1,0.07613309598795016
2020-03-08,Washington,61,4,0.06537574919317657
2020-03-09,Washington,61,4,0.05977491744726734
2020-03-10,Washington,110,2,0.05899143672692674
2020-03-11,Washington,133,3,0.05872566960572284
2020-03-12,Washington,178,4,0.05862772945144683
2020-03-13,Washington,216,3,0.05712892456581267
2020-03-14,Washington,156,4,0.05761763738071734
2020-03-15,Washington,106,6,0.05949042665460576
2020-03-16,Washington,300,12,0.061277593503374125
2020-03-17,Washington,263,9,0.06434787792083929
2020-03-18,Washington,289,4,0.06813229073195744
2020-03-19,Washington,332,10,0.07119655868668247
2020-03-20,Washington,303,12,0.07317008533418137
2020-03-21,Washington,194,7,0.0766384778012685
2020-03-22,Washington,183,15,0.08147282911678037
2020-03-23,Washington,463,11,0.08668348451505554
2020-03-24,Washington,434,9,0.0901031044640834
2020-03-25,Washington,439,13,0.09425002268533923
2020-03-26,Washington,432,24,0.09736665548473666
2020-03-27,Washington,450,16,0.09782636923156827
2020-03-28,Washington,283,21,0.0990569775735003
2020-03-29,Washington,238,17,0.09938286447062594
2020-03-30,Washington,561,11,0.0992175526337017
2020-03-31,Washington,467,14,0.09820366067886892
2020-04-01,Washington,446,20,0.0968497232865049
2020-04-02,Washington,404,28,0.09325031838120842
2020-04-03,Washington,409,28,0.08965570759719599
2020-04-04,Washington,208,27,0.08467899720867138
2020-04-05,Washington,169,21,0.08287161627354758
2020-04-06,Washington,393,21,0.07993596584845251
2020-04-07,Washington,409,22,0.07914456997924832
2020-04-08,Washington,341,14,0.07722241714777839
2020-04-09,Washington,362,16,0.07805233883468587
2020-04-10,Washington,301,17,0.07645955318060373
2020-04-11,Washington,154,18,0.0765322510000876
2020-04-12,Washington,84,15,0.07539706323044651
2020-04-13,Washington,355,17,0.07622163652337241
2020-04-14,Washington,291,16,0.0748389175257732
2020-04-15,Washington,324,9,0.07452780229479258
2020-04-16,Washington,304,20,0.07374269194741433
2020-04-17,Washington,341,14,0.07117674257311295
2020-04-18,Washington,169,13,0.06677305560221737
2020-04-19,Washington,89,17,0.0637934770831076
2020-04-20,Washington,326,14,0.05991120528732153
2020-04-21,Washington,264,11,0.05773451418833432
2020-04-22,Washington,277,7,0.05550316209919006
2020-04-23,Washington,261,7,0.05358018636586562
2020-04-24,Washington,344,5,0.05164992826398852
2020-04-25,Washington,165,6,0.04944664856963875
2020-04-26,Washington,106,73,0.04788254992444971
2020-04-27,Washington,353,11,0.047413793103448273
2020-04-28,Washington,280,16,0.047012255783925656
2020-04-29,Washington,318,21,0.04680616740088106
2020-04-30,Washington,241,15,0.048126320471477815
2020-05-01,Washington,308,13,0.04662447683940234
2020-05-02,Washington,106,10,0.04506199057500556
2020-05-03,Washington,78,6,0.045211613462371805
2020-05-04,Washington,374,4,0.044206967084803074
2020-05-05,Washington,248,7,0.04539464715772255
2020-05-06,Washington,275,21,0.0447488819205264
2020-05-07,Washington,243,8,0.04539967334958695
2020-05-08,Washington,245,21,0.04428601830176633
2020-05-09,Washington,121,14,0.042536338920643076
2020-05-10,Washington,51,16,0.043062512196708515
2020-05-11,Washington,283,10,0.04323320734699291
2020-05-12,Washington,241,14,0.0431758499136483
2020-05-13,Washington,280,17,0.04301982285955293
2020-05-14,Washington,247,13,0.03987730061349693
2020-05-15,Washington,245,8,0.038588235294117645
2020-05-16,Washington,112,9,0.03679298566472122
2020-05-17,Washington,52,8,0.03627176466801841
2020-05-18,Washington,114,1,0.03491412252121797
2020-05-19,Washington,66,1,0.031133603238866398
2020-05-20,Washington,11,29,0.0317806981210227
2020-05-21,Washington,0,6,0
2020-05-22,Washington,21,7,0
2020-05-23,Washington,148,6,0
2020-05-24,Washington,320,5,0
2020-03-01,Rhode Island,1,0,0
2020-03-02,Rhode Island,0,0,0
2020-03-03,Rhode Island,1,0,0
2020-03-04,Rhode Island,0,0,0
2020-03-05,Rhode Island,0,0,0.09090909090909091
2020-03-06,Rhode Island,1,0,0.03333333333333333
2020-03-07,Rhode Island,0,0,0.04081632653061224
2020-03-08,Rhode Island,0,0,0.03296703296703297
2020-03-09,Rhode Island,0,0,0.0839160839160839
2020-03-10,Rhode Island,0,0,0.09045226130653267
2020-03-11,Rhode Island,2,0,0.06273062730627306
2020-03-12,Rhode Island,0,0,0.06060606060606061
2020-03-13,Rhode Island,9,0,0.050890585241730284
2020-03-14,Rhode Island,6,0,0.05555555555555556
2020-03-15,Rhode Island,0,0,0.06436420722135008
2020-03-16,Rhode Island,1,0,0.06490066225165564
2020-03-17,Rhode Island,2,0,0.07358262967430639
2020-03-18,Rhode Island,10,0,0.08032596041909197
2020-03-19,Rhode Island,11,0,0.08341416100872939
2020-03-20,Rhode Island,10,0,0.10067763794772508
2020-03-21,Rhode Island,12,0,0.10422535211267607
2020-03-22,Rhode Island,17,0,0.14185814185814186
2020-03-23,Rhode Island,23,0,0.0878099173553719
2020-03-24,Rhode Island,18,0,0.0936599423631124
2020-03-25,Rhode Island,8,0,0.10526315789473684
2020-03-26,Rhode Island,33,0,0.1262683201803833
2020-03-27,Rhode Island,38,0,0.13762711864406782
2020-03-28,Rhode Island,36,0,0.14612452350698857
2020-03-29,Rhode Island,55,3,0.1423230974632844
2020-03-30,Rhode Island,108,1,0.13830297219558965
2020-03-31,Rhode Island,87,4,0.12915575256901068
2020-04-01,Rhode Island,77,2,0.1538955479452055
2020-04-02,Rhode Island,91,2,0.1478687949482547
2020-04-03,Rhode Island,52,2,0.13048933500627352
2020-04-04,Rhode Island,97,3,0.12267353388739319
2020-04-05,Rhode Island,116,8,0.14661297963050687
2020-04-06,Rhode Island,160,2,0.14637842206283463
2020-04-07,Rhode Island,148,3,0.12878672552899983
2020-04-08,Rhode Island,220,5,0.13230519480519481
2020-04-09,Rhode Island,277,8,0.15205661831686637
2020-04-10,Rhode Island,288,6,0.14816464151663591
2020-04-11,Rhode Island,334,7,0.1405029857602205
2020-04-12,Rhode Island,316,7,0.14687165624824014
2020-04-13,Rhode Island,311,10,0.14638466906436204
2020-04-14,Rhode Island,275,7,0.13486890468022544
2020-04-15,Rhode Island,278,7,0.13397222765499708
